,Button,MIDI,Chromatic Scale,MIDI,C Minor Scale,MIDI,C Blues Scale
,,Value,Note - Frequency,Value,Note,Value,Note
,SW1,MIDI 59,  B3 - 246.94hz,MIDI 58,  A3♯/B♭3 - 233.08hz,MIDI 58,  A3♯/B♭3 - 233.08hz
,SW2,MIDI 60,  C4 - 261.63hz,MIDI 60,  C4 - 261.63hz,MIDI 60,  C4 - 261.63hz
,SB1,MIDI 61,  C4♯/D♭4 - 277.18hz,MIDI 60,  C4 - 261.63hz,MIDI 60,  C4 - 261.63hz
,SW3,MIDI 62,  D4 - 293.67hz,MIDI 62,  D4 - 293.67hz,MIDI 60,  C4 - 261.63hz
,SB2,MIDI 63,  D4♯/E♭4 - 311.13hz,MIDI 63,  D4♯/E♭4 - 311.13hz,MIDI 63,  D4♯/E♭4 - 311.13hz
,SW4,MIDI 64,  E4 - 329.63hz,MIDI 63,  D4♯/E♭4 - 311.13hz,MIDI 63,  D4♯/E♭4 - 311.13hz
,SW5,MIDI 65,  F4 - 349.23hz,MIDI 65,  F4 - 349.23hz,MIDI 65,  F4 - 349.23hz
,SB3,MIDI 66,  F4♯/G♭4 - 369.99,MIDI 65,  F4 - 349.23hz,MIDI 66,  F4♯/G♭4 - 369.99
,SW6,MIDI 67,  G4 - 392hz  ,MIDI 67,  G4 - 392hz  ,MIDI 67,  G4 - 392hz  
,SB4,MIDI 68,  G4♯/A♭4 - 415.3hz,MIDI 68,  G4♯/A♭4 - 415.3hz,MIDI 67,  G4 - 392hz  
,SW7,MIDI 69,  A4 - 440hz Concert Pitch,MIDI 68,  G4♯/A♭4 - 415.3hz,MIDI 67,  G4 - 392hz  
,SB5,MIDI 70,  A4♯/B♭4 - 466.16hz,MIDI 70,  A4♯/B♭4 - 466.16hz,MIDI 70,  A4♯/B♭4 - 466.16hz
,SW8,MIDI 71,  B4 - 493.88hz,MIDI 70,  A4♯/B♭4 - 466.16hz,MIDI 70,  A4♯/B♭4 - 466.16hz
,SW9,MIDI 72,  C5 - 523.25hz,MIDI 72,  C5 - 523.25hz,MIDI 72,  C5 - 523.25hz
,SB6,MIDI 73,  C5♯/D♭5 - 554.37hz,MIDI 72,  C5 - 523.25hz,MIDI 72,  C5 - 523.25hz
,SW10,MIDI 74,  D5 - 587.33hz,MIDI 74,  D5 - 587.33hz,MIDI 72,  C5 - 523.25hz
,SB7,MIDI 75,  D5♯/E♭5 - 622.25hz,MIDI 75,  D5♯/E♭5 - 622.25hz,MIDI 75,  D5♯/E♭5 - 622.25hz
,SW11,MIDI 76,  E5 - 659.26hz,MIDI 75,  D5♯/E♭5 - 622.25hz,MIDI 75,  D5♯/E♭5 - 622.25hz
,SW12,MIDI 77,  F5 - 689.46hz,MIDI 77,  F5 - 689.46hz,MIDI 77,  F5 - 689.46hz
